component_id,name,purpose,responsibilities,inputs,outputs,owned_state,dependencies,failure_behaviour,execution_environment,classification,proposed_owner_role,required_tests,current_evidence_status,interfaces_consumed,interfaces_provided
C-11,Navigation-state repository and output publisher,Publish immutable scientific snapshots and separately derived display snapshots.,Approximately 10 Hz output pacing; monotonic revision; no feedback from display smoothing; expose modes/provenance.,"I-07,I-08,I-11,I-13,I-15",I-16,Latest snapshots and output sequence,C-20,Hold last display only with STALE marker; scientific output invalid/stopped is explicit,Android/Kotlin StateFlow,production,R5 Android/frontend,Rate; separation; stale/fault; process recreation,Contract selected; integrated rate pending,I-07;I-08;I-11;I-13;I-15,I-16
C-12,Replay provider and demo scenario controller,Provide deterministic recorded input and software-only GNSS visibility control through live-compatible contracts.,Replay ordering; speed/pause/seek restrictions; scenario masks; labels LIVE/REPLAY/SIMULATED_OUTAGE/DEMO.,"I-18,I-17","I-01,I-02,I-14,I-17",Replay cursor and scenario definition,C-20,Reject corrupt/incomplete sessions unless explicitly diagnostic; no silent repair,Android demo + host,demo,R6 demo/validation/docs,Determinism; corrupted manifest; mask isolation; live/replay contract,Architecture decision accepted; implementation pending,I-18;I-17,I-01;I-02;I-14;I-17
C-13,Offline map and navigation UI,"Render local map, routes, scientific/reference traces, candidates, uncertainty and honest mode labels.",MapLibre local PMTiles; attribution; UI state adaptation; after-run comparison; accessibility.,"I-16,I-17,I-21",User display and UI events,Presentation state only,MapLibre+PMTiles provisional; C-11,Show map unavailable and retain textual scientific state; never fake movement,Android/Compose,demo+production UI,R5 Android/frontend + R6,Screenshot/accessibility; airplane mode; attribution; device renderer,S6A foundation conditional; Android renderer not validated,I-16;I-17;I-21,
C-14,Offline analyzer and evaluation harness,"Reproduce sessions and compute drift, latency, rate, integrity, map and resource metrics.",Immutable input verification; endpoint/max/RMSE metrics; unmatched/matched/display separation; reports.,"I-18,I-19,I-21",Versioned evaluation reports and experiment manifests,Read-only run registry,Python offline; C-20,No metric on failed provenance/ground-truth checks,Python host,offline,R4 testing/MLOps,Golden metrics; independent recomputation; malformed inputs,S1 analyzer pattern verified; full integrated analyzer pending,I-18;I-19;I-21,
C-15,IO-VNBD ingestion and feature firewall,"Privately ingest allowed IO-VNBD bytes, validate schemas/dedup/splits and prevent vehicle-label leakage.",Pinned manifests; six-schema allowlist; parent-session split; runtime-feature audit; no raw public artifacts.,I-20 and private dataset,I-20; private tensors/labels,Private data inventory,Python offline,Quarantine unknown schema/hash/unit; stop experiment,Private offline workspace,offline,R2 dataset preparation,Schema/dedup/leakage/canary/future-GNSS tests,S0 audit complete; status overridden to organizer-directed conditional private use,I-20,I-20
C-16,Training and evaluation pipeline,Train/ablate optional learned aids with journey-safe splits and frozen scenarios.,Baselines; grouped splits; model/normalization provenance; evaluation; export candidate.,I-20,I-19 and private experiment records,Experiment registry,Python/PyTorch offline,"No export when leakage, rights, split or metric checks fail",Private offline/controlled compute,offline,R3 ML modelling,Determinism; split isolation; baselines; ablations,Experiment permitted conditionally; no performance executed,I-20,I-19
C-17,Model packaging validator,Prove exported model/runtime/normalization compatibility before Android inclusion.,Hash model; schema/opset/runtime version; golden-vector parity; size/latency budget; redistribution flag.,I-19,Validated I-19,None,ONNX checker + Android harness,Reject bundle; app runs model-disabled,CI/private device,offline+production gate,R4 testing/MLOps + R3,Golden tensors; corrupt manifest; unsupported op; timeout,Unexecuted S4,I-19,I-19
C-18,Map and graph build tooling,Rebuild display/graph artifacts from one frozen lawful PBF with lineage.,Hash source; build PMTiles/SQLite; stable IDs; notices; fixtures and candidate routes.,Frozen PBF and config,I-21,Immutable build workspace,pyosmium/tile tooling pinned,Abort on hash/tool/lineage mismatch,Offline host/container,offline,R4 testing/MLOps,S6 deterministic build; graph schema/topology,S6B1 graph built: 19/19 tests; PMTiles/device path pending,,I-21
C-19,Artifact and manifest validator,"Validate all distributable artifacts, notices, hashes, schemas and forbidden content.",JSON/CSV/schema parsing; manifest hashes; clean extraction; secrets/private/raw-data checks.,"I-18,I-19,I-20,I-21 and release tree",Release verification report,None,C-20,Block merge/release,CI/offline,offline,R4 testing/MLOps,Self-test fixtures; tamper detection,Pattern proven by S6 manifests; repo implementation pending,I-18;I-19;I-20;I-21,
C-20,Contracts and configuration package,"Version schemas, enums, units, frames, clock domains, validation and feature flags.",JSON Schema/Proto definitions; generated bindings; compatibility tests; configuration identity.,Architecture contracts,I-01 through I-22 schemas,Schema registry,None,Unknown major version rejected; incompatible change requires ADR,Shared,production+demo+offline,R1 navigation lead + R4,Schema compatibility; codegen determinism; round-trip,Conceptual contracts frozen by this baseline; implementation pending,,I-01;I-02;I-03;I-04;I-05;I-06;I-07;I-08;I-09;I-10;I-11;I-12;I-13;I-14;I-15;I-16;I-17;I-18;I-19;I-20;I-21;I-22
